No.;Time;;Time1;Time2;Delay;;Delay1;Delay2;Jitter
517;143,931966;;143,931966;143,934193;0,002227;;-0,038572;0,040622;0,079194
518;143,934193;;143,934193;143,974992;0,040799;;0,040622;-0,002399;-0,043021
519;143,974992;;143,974992;143,975169;0,000177;;-0,002399;0,002455;0,004854
520;143,975169;;143,975169;143,977745;0,002576;;0,002455;-0,001608;-0,004063
521;143,977745;;143,977745;143,977866;0,000121;;-0,001608;-0,000407;0,001201
522;143,977866;;143,977866;143,979595;0,001729;;-0,000407;0,002136;0,002543
523;143,979595;;143,979595;143,981731;0,002136;;0,002136;-0,000133;-0,002269
524;143,981731;;143,981731;143,981731;0;;-0,000133;-0,002413;-0,00228
525;143,981731;;143,981731;143,981864;0,000133;;-0,002413;0,002489;0,004902
526;143,981864;;143,981864;143,98441;0,002546;;0,002489;-0,001656;-0,004145
527;143,98441;;143,98441;143,984467;5,70E-05;;-0,001656;-0,060468;-0,058812
528;143,984467;;143,984467;143,98618;0,001713;;-0,060468;0,062181;0,122649
529;143,98618;;143,98618;144,048361;0,062181;;0,062181;-8,80E-05;-0,062269
530;144,048361;;144,048361;144,048361;0;;-8,80E-05;-0,000135;-4,70E-05
531;144,048361;;144,048361;144,048449;8,80E-05;;-0,000135;0,000223;0,000358
532;144,048449;;144,048449;144,048672;0,000223;;0,000223;0;-0,000223
533;144,048672;;144,048672;144,048672;0;;0;0;0
534;144,048672;;144,048672;144,048672;0;;0;-5,60E-05;-5,60E-05
535;144,048672;;144,048672;144,048672;0;;-5,60E-05;-0,004794;-0,004738
536;144,048672;;144,048672;144,048728;5,60E-05;;-0,004794;0,003173;0,007967
537;144,048728;;144,048728;144,053578;0,00485;;0,003173;-0,037964;-0,041137
